loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.482926368713379,14.481099128723145,0.0,6.233634948730469,4.993575572967529,0.625,1.240059494972229,-445.3261413574219,-374.26019287109375,-0.7261389493942261,-0.874945342540741,0.008130081300813009,1,,,,,
0.5920436978340149,8.795378684997559,2e-05,6.654298782348633,4.604496002197266,0.875,2.049802780151367,-389.3406982421875,-344.3038635253906,-0.7357261776924133,-1.0360093116760254,0.016260162601626018,2,,,,,
1.3103872537612915,13.001519203186035,4e-05,4.159014701843262,4.187302589416504,0.625,-0.02828773856163025,-355.56719970703125,-330.6673889160156,-1.1947367191314697,-0.8116251826286316,0.024390243902439025,3,,,,,
0.9723382592201233,10.04921817779541,6e-05,4.814435005187988,4.31927490234375,0.75,0.4951605200767517,-366.8101806640625,-366.91943359375,-0.7692527770996094,-1.0288368463516235,0.032520325203252036,4,,,,,
1.277592658996582,9.159692764282227,8e-05,5.61652135848999,4.711705207824707,0.75,0.9048164486885071,-316.76751708984375,-306.306396484375,-0.8020521402359009,-0.6649892330169678,0.04065040650406504,5,,,,,
1.5842041969299316,16.391881942749023,0.0001,5.162246227264404,5.546981334686279,0.5,-0.38473543524742126,-319.7355651855469,-319.38360595703125,-0.8590677976608276,-0.4815393388271332,0.04878048780487805,6,,,,,
1.8850983381271362,16.806903839111328,0.00012,5.156963348388672,6.021688461303711,0.375,-0.8647247552871704,-313.1103515625,-295.2685241699219,-0.7650567293167114,-0.4728924036026001,0.056910569105691054,7,,,,,
1.163403034210205,18.80189323425293,0.00014,4.29365348815918,4.37916374206543,0.5,-0.08551055192947388,-345.06854248046875,-392.3913269042969,-0.743448793888092,-0.8968251347541809,0.06504065040650407,8,,,,,
0.571251630783081,12.213262557983398,0.00016,4.672463417053223,3.288686513900757,0.75,1.3837769031524658,-360.6376953125,-370.291748046875,-0.7785183191299438,-0.9233859181404114,0.07317073170731707,9,,,,,
0.09807508438825607,4.941025733947754,0.00018,5.486659049987793,1.7010350227355957,1.0,3.7856240272521973,-344.6733093261719,-332.3131408691406,-0.6473873853683472,-0.8395563960075378,0.08130081300813008,10,,,,,
